unit_id,doc_number,title,year,state,page_count,org_type,figure,unit_text,unit_length,topic,subtopic
943-5-10-1212,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"Los Angeles City College (LACC) was established in 1928 and opened its doors in 1929. The college is located on 48 acres near Hollywood, a community richly diverse in income, cultures and neighborhood character. LACC has one of the most diverse student populations of any college in America – over 40% of students speak a language other than English at home. The average age of the students is 30.1 years. Over 17% earned their secondary diplomas abroad and over 10% have already earned a Bachelor’s degree. However, the academic preparation of many entering students is lacking: 91% of students assessed place into below college-level English; 97% place into below college-level mathematics. Approximately 74% of our students are first generation college students. Five of the 7 major feeder high schools fall into the lowest 10% of high schools Statewide based on the Academic Performance Index (API).",8,,
943-5-10-1213,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"Our diversity has created great successes - LACC takes pride in the accomplishments of its students: the Theater program, Debate Team and the Math Club regularly bring home top national awards. LACC is ranked among the top 100 community colleges nationally in associate’s degrees awarded to Asian American students and to Hispanic students. In addition to a strong transfer curriculum, LACC has highly successful vocational programs as well as extensive basic skills programs. The college offers programs for 66 associate’s degrees, over 80 degree-applicable, career-technical and skills certificates and over 35 non-credit certificates of competency and completion.",4,,
943-5-10-1214,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"LACC exceeds peer averages in 5 out of 7 ARCC measures and State averages in 3 of 7 measures. The College’s performance is below peer averages in the Basic Skills Completion and Improvement measures. At the same time, the College’s ESL Improvement and Vocational Completion rates are among the highest in the State. On a three year basis, LACC’s performance increased in 3 of 7 measures; 4 of 7 measures show no increase or a less than 3% decline over the 3 years. This diversity of results reflects the special challenges that LACC faces in providing the high quality educational services. The College is actively addressing Basic Skills issues through the College’s Student Success committee and partnerships with local and state initiatives and organizations.",6,,
943-5-10-1215,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"As a result of recent bond measures, the College has opened a new science and technology building, a new library and new child development center and renovated 2 additional buildings and is currently in the process of building a student union, a student services center and more athletics facilities. All of these improvements enable LACC to be an urban oasis of learning that educates minds, opens hearts, and celebrates community.",2,,
943-5-10-1230,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"College Self-Assessment: Since 1949 Los Angeles Harbor College has served the socio-economically and ethnically diverse communities adjacent to the Port of Los Angeles and the adjoining South Bay area of Los Angeles County. Our students represent proportions of African-American, Asian/Pacific Islander and Hispanic populations which exceed the equivalent proportions of the community. Each year the community population has continued to grow. Local feeder high schools have remained at or above their maximum capacity. After 5 years of enrollment decline, while undergoing major construction, the college experienced a 10% increase in enrollment in academic year 2008-9 and this trend is continuing in 2009-10.",5,,
943-5-10-1231,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"The focus of the college is on preparing students for transfer to four-year colleges and universities, and approximately 600 students transfer annually. The college offers a limited Career and Technical Education program with 41 A.S. degrees and 25 certificate programs. Additionally, it is focusing on expanding its student success, basic skills, and community services programs.",3,,
943-5-10-1232,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"The college has continued to experience on-going budget challenges which have resulted in a reduction of full time faculty, support staff and other student success resources. The reduction in categorical funding this fiscal year has been particularly difficult on our students. The college leadership is deeply concerned about the ongoing budget cuts for the foreseeable future.",3,,
943-5-10-1233,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"In spite of these issues, there have been positive developments. Two new buildings opened for the spring 2010 semester. The new buildings changed the footprint of the college markedly. We have three new online degrees as well as a new Culinary Arts degree on campus.",4,,
943-5-10-1234,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"With one exception, relative to the state, and peer group averages, Los Angeles Harbor College has demonstrated average or close to average performance on the state’s accountability indicators. The trends on all but one measure are also encouraging: these are either constant over the past three years or show slight improvement.",2,,
943-5-10-1235,943,Focus on Results: Accountability Reporting for the California Community Colleges 2010,2010,California,847,9,0,"The exception to these trends is the SPAR. This has declined slightly and the college’s rate is below both the state and peer group averages. This may be partly due to factors such as the college’s budget deficit and limited support services. However, the college leadership has identified this trend and initiated activities to improve the college’s persistence rate.",4,,
